Counterpart-Area Name,Counterpart-Area Code,Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
World,WLD,Interest payments on external debt (% of GNI),DT.INT.DECT.GN.ZS,Cambodia,KHM,0.159097701,0.143945171,0.168883569,0.200124122,0.235008106,0.221736873,0.200930556,0.177148247,0.224910886,0.235184118,0.294684002,0.362367159,0.417471739,0.472484383,0.481834591,0.473668022,0.597093645,0.60770753,0.731672387,0.939028191,0.792882317,0.87873568,1.443907324
World,WLD,Interest payments on external debt (% of GNI),DT.INT.DECT.GN.ZS,China,CHN,0.605548084,0.605217261,0.438107993,0.439401807,0.358458656,0.289042778,0.342859643,0.322312888,0.202696717,0.126418507,0.549737482,0.505569236,0.497816633,0.425499885,0.41163413,0.386711263,0.325945317,0.501140083,0.581504505,0.668341617,0.634805388,0.626739708,0.582363838
World,WLD,Interest payments on external debt (% of GNI),DT.INT.DECT.GN.ZS,Fiji,FJI,0.523385866,0.466481557,0.409938193,0.290032243,0.241957881,0.216772744,0.236334035,0.562801793,0.53411255,0.975574942,0.778430812,0.995326785,1.178861374,1.041509922,0.780367962,1.020671272,0.694489028,0.841254455,0.86064192,3.296410285,0.726832443,0.340657506,1.867460023
World,WLD,Interest payments on external debt (% of GNI),DT.INT.DECT.GN.ZS,Indonesia,IDN,4.8020407,3.822407118,2.113100503,1.880485328,2.019202057,1.246699323,1.104809093,1.242562531,0.949755984,0.857783375,0.730269632,0.680564341,0.715318586,0.936745816,1.034762746,2.059611308,1.171855465,1.212697736,1.258925227,1.24840898,1.45495011,0.97414487,1.086109069
World,WLD,Interest payments on external debt (% of GNI),DT.INT.DECT.GN.ZS,Lao PDR,LAO,0.612409359,0.617530229,2.183617645,1.945504054,1.972768872,1.859720328,1.62099297,1.471595671,1.259030515,1.312553766,1.183197941,1.24888804,0.916547519,1.273781383,1.307250157,1.326796474,1.511949512,1.817201572,1.946959234,2.955672899,1.919977388,1.362361859,3.0834719
World,WLD,Interest payments on external debt (% of GNI),DT.INT.DECT.GN.ZS,Mongolia,MNG,1.170602185,0.934257845,0.98298109,0.969425185,1.13685209,0.906130163,0.575951188,0.495780806,0.61843112,1.087433264,1.462116298,1.745871165,2.399349777,3.534385886,3.693315495,4.708104637,5.085354109,9.207984144,9.693915389,4.703469842,4.024497075,3.04875656,3.901489423
World,WLD,Interest payments on external debt (% of GNI),DT.INT.DECT.GN.ZS,Myanmar,MMR,0.050318275,0.039395556,0.03481346,0.021174644,0.025385018,0.02514411,0.130925578,0.122961189,0.080199951,0.080440318,0.082450992,0.114005061,0.466650597,1.264950716,0.467291485,0.419746956,0.418580614,0.315249487,0.435403376,0.261431062,0.147212297,0.247981726,0.314287196
World,WLD,Interest payments on external debt (% of GNI),DT.INT.DECT.GN.ZS,Papua New Guinea,PNG,2.727415538,2.765748382,2.483707736,1.696797781,1.43166581,1.411022003,0.747669758,0.690959481,0.378146259,0.272877207,0.407231018,0.660943439,0.666428817,1.203775636,1.519424536,2.858162179,3.324196004,3.112254841,3.28885851,3.453272121,0.910701382,1.360708711,1.764156659
World,WLD,Interest payments on external debt (% of GNI),DT.INT.DECT.GN.ZS,Philippines,PHL,3.288382418,3.946722882,3.407110342,3.005264676,3.628994175,2.936628532,2.763795332,2.093771842,1.711591733,1.688661166,1.346343138,1.233041417,1.024226378,0.927311876,0.922522301,0.927130019,0.898981674,0.812086111,0.670700903,0.784226569,0.769109131,0.704091932,0.782161969
World,WLD,Interest payments on external debt (% of GNI),DT.INT.DECT.GN.ZS,Samoa,WSM,0.551974356,0.508216464,0.469414907,0.436973946,0.420481132,0.351235327,0.460776799,0.317162416,0.349655811,0.421333431,0.511936571,0.579245276,0.634416339,0.767926412,0.900226284,1.000866803,1.123840388,1.31558506,1.360753407,1.231340592,0.584672216,0.52006199,0.997338041
World,WLD,Interest payments on external debt (% of GNI),DT.INT.DECT.GN.ZS,Solomon Islands,SLB,0.698510533,0.627258324,0.701694908,0.943024914,1.3471915,0.731294443,0.24834588,0.489102694,0.604631489,0.32048447,0.378280052,0.272394594,0.716669011,0.412775536,0.17293878,0.200775672,0.437612835,0.385953237,0.418260793,0.270240688,0.169222067,0.224320482,0.27864418
World,WLD,Interest payments on external debt (% of GNI),DT.INT.DECT.GN.ZS,Thailand,THA,3.917915967,2.82655256,1.972857795,1.450578865,1.01060681,0.874013919,0.871750599,0.667167992,0.56455243,0.519824751,0.484299468,0.467027915,0.551810666,0.355938524,0.418813389,0.415171994,0.659665416,0.568339916,0.688983597,0.607531501,0.500281554,0.327138431,0.904092223
World,WLD,Interest payments on external debt (% of GNI),DT.INT.DECT.GN.ZS,Timor-Leste,TLS,..,..,..,..,..,..,..,..,..,..,..,..,0.007620239,0.007398844,0.013184945,0.029269053,0.036716453,0.067704298,0.112198689,0.125492398,0.142623314,0.083073924,0.141283743
World,WLD,Interest payments on external debt (% of GNI),DT.INT.DECT.GN.ZS,Tonga,TON,0.6143872,0.456885378,0.474080334,0.490386573,0.479050802,0.583576766,0.410371317,0.485014023,0.509708143,0.451769542,0.629638599,0.625942198,0.604211272,0.666326139,0.578218229,0.649301898,0.646397932,0.571658502,0.646429558,0.511000386,0.254472522,0.415342402,0.557581364
World,WLD,Interest payments on external debt (% of GNI),DT.INT.DECT.GN.ZS,Vanuatu,VUT,0.737238724,0.464508378,0.566533847,0.489369546,0.702966042,0.617104054,0.57628762,0.514372823,0.370462168,0.378185317,0.35385452,0.365037253,0.28201241,0.306107882,0.295507787,0.266636346,0.481608055,0.592347844,0.631381402,0.568089047,0.478735449,0.422474472,0.511943356
World,WLD,Interest payments on external debt (% of GNI),DT.INT.DECT.GN.ZS,Viet Nam,VNM,1.133282615,1.187590044,0.86723296,0.746115348,0.780844312,0.728270105,0.703577053,0.807445372,0.62232256,0.527454019,0.554581893,0.63964374,0.626667988,0.602888937,0.636606531,0.793500114,0.743930171,1.051509598,1.248006808,1.146806767,0.82063076,0.552592266,0.698798982
World,WLD,Interest payments on external debt (% of GNI),DT.INT.DECT.GN.ZS,Albania,ALB,0.37964203,0.338147768,0.556416142,0.340055975,0.329281172,0.525279461,0.652921564,0.67468109,0.726075845,0.909353916,1.000642369,1.306632577,1.479245792,1.496489889,1.398584304,0.879169636,0.838642237,0.791705888,1.033024672,0.803674655,1.05746074,0.734792089,0.758442277
World,WLD,Interest payments on external debt (% of GNI),DT.INT.DECT.GN.ZS,Armenia,ARM,1.002183804,1.037391889,1.281690728,1.032129025,1.495319215,0.758003931,1.125706076,1.163251215,0.718972004,1.117775478,0.934385896,1.629557258,1.515905412,1.462973009,1.733109877,1.937903738,2.324046754,2.231588258,2.509216973,2.999240307,3.821416401,3.485788674,2.990772243
World,WLD,Interest payments on external debt (% of GNI),DT.INT.DECT.GN.ZS,Azerbaijan,AZE,1.256997531,0.760782366,0.456880344,0.375329029,0.380830791,0.363251405,0.349607296,0.561072277,0.312459859,0.196239609,0.189557547,0.385039307,0.505387865,0.487327555,0.416198986,0.625562133,1.222324379,1.18466602,1.281091913,1.306016092,1.321444964,0.8263704,0.706839536
